Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,AU,12,2019,81,F,true,JMC,APRIL,2021,Lecture 4
1,AU,12,2019,81,F,true,PYC,JUNE,2019,Lecture 10
2,CN,12,2015,89,F,true,JMC,APRIL,2019,Lecture 6
2,CN,12,2015,89,F,true,PYC,OCTOBER,2018,Lecture 11
3,US,11,2016,67,M,true,JMC,APRIL,2020,Lecture 11
3,US,11,2016,67,M,true,PYC,DECEMBER,2020,Lecture 11
4,CN,7,2017,26,F,false,JMC,APRIL,2022,Lecture 1
4,CN,7,2017,26,F,false,PYC,JULY,2020,Lecture 13
5,GB,8,2023,74,U,true,JMC,AUGUST,2023,Lecture 9
5,GB,8,2023,74,U,true,PYC,OCTOBER,2023,Lecture 4
6,US,10,2021,79,F,false,JMC,FEBRUARY,2023,Lecture 6
6,US,10,2021,79,F,false,PYC,FEBRUARY,2022,Lecture 5
7,US,11,2020,85,F,true,JMC,MARCH,2021,Lecture 13
7,US,11,2020,85,F,true,PYC,NOVEMBER,2023,Lecture 14
8,US,11,2019,88,U,false,JMC,FEBRUARY,2023,Lecture 2
8,US,11,2019,88,U,false,PYC,MARCH,2019,Lecture 1
9,IN,5,2020,27,F,false,JMC,FEBRUARY,2023,Lecture 7
9,IN,5,2020,27,F,false,PYC,FEBRUARY,2022,Lecture 13
10,IN,4,2019,89,F,true,JMC,JULY,2020,Lecture 5
10,IN,4,2019,89,F,true,PYC,JANUARY,2021,Lecture 9
11,AU,10,2015,29,M,false,JMC,JANUARY,2022,Lecture 11
11,AU,10,2015,29,M,false,PYC,APRIL,2023,Lecture 11
12,AU,4,2018,66,M,true,JMC,DECEMBER,2018,Lecture 13
12,AU,4,2018,66,M,true,PYC,JUNE,2022,Lecture 8
13,AU,7,2017,37,M,false,JMC,FEBRUARY,2020,Lecture 7
13,AU,7,2017,37,M,false,PYC,MAY,2021,Lecture 11
14,IN,12,2022,54,F,false,JMC,MARCH,2023,Lecture 6
14,IN,12,2022,54,F,false,PYC,AUGUST,2022,Lecture 13
15,AU,4,2018,59,M,false,JMC,FEBRUARY,2022,Lecture 6
15,AU,4,2018,59,M,false,PYC,NOVEMBER,2023,Lecture 8
16,IN,9,2019,44,F,true,JMC,MARCH,2021,Lecture 11
16,IN,9,2019,44,F,true,PYC,FEBRUARY,2020,Lecture 8
17,IN,11,2022,42,M,true,JMC,OCTOBER,2023,Lecture 2
17,IN,11,2022,42,M,true,PYC,NOVEMBER,2023,Lecture 5
18,GB,8,2022,27,U,true,JMC,JANUARY,2023,Lecture 5
18,GB,8,2022,27,U,true,PYC,SEPTEMBER,2023,Lecture 10
19,US,3,2022,25,U,true,JMC,DECEMBER,2023,Lecture 1
19,US,3,2022,25,U,true,PYC,OCTOBER,2023,Lecture 10
20,GB,7,2016,36,M,false,JMC,FEBRUARY,2019,Lecture 2
20,GB,7,2016,36,M,false,PYC,JUNE,2017,Lecture 11
21,AU,3,2021,68,F,false,JMC,DECEMBER,2021,Lecture 14
21,AU,3,2021,68,F,false,PYC,MAY,2023,Lecture 4
22,AU,4,2016,71,U,false,JMC,NOVEMBER,2022,Lecture 5
22,AU,4,2016,71,U,false,PYC,APRIL,2018,Lecture 2
23,CN,6,2015,42,U,true,JMC,JANUARY,2023,Lecture 14
23,CN,6,2015,42,U,true,PYC,FEBRUARY,2022,Lecture 12
24,AU,6,2016,39,M,false,JMC,FEBRUARY,2023,Lecture 3
24,AU,6,2016,39,M,false,PYC,OCTOBER,2016,Lecture 7
25,AU,12,2022,40,F,true,JMC,FEBRUARY,2022,Lecture 6
25,AU,12,2022,40,F,true,PYC,JANUARY,2023,Lecture 13
